Fecha,Muertes,Policias,Departamento
2014-08-03,0,0,0
2014-08-10,0,34,31
2014-08-17,0,0,34
2014-08-24,0,0,0
2014-08-31,30,0,31
2014-09-07,0,39,0
2014-09-14,0,0,0
2014-09-21,0,0,34
2014-09-28,0,0,0
2014-10-05,61,28,0
2014-10-12,33,33,0
2014-10-19,38,0,0
2014-10-26,0,37,69
2014-11-02,0,0,36
2014-11-09,0,0,0
2014-11-16,0,0,0
2014-11-23,0,0,0
2014-11-30,0,0,0
2014-12-07,0,35,0
2014-12-14,0,39,0
2014-12-21,0,0,0
2014-12-28,0,0,0
2015-01-04,0,0,0
2015-01-11,60,0,0
2015-01-18,0,0,0
2015-01-25,32,0,0
2015-02-01,0,0,0
2015-02-08,0,0,28
2015-02-15,0,0,0
2015-02-22,0,0,26
2015-03-01,30,0,0
2015-03-08,0,0,0
2015-03-15,0,0,0
2015-03-22,0,0,0
2015-03-29,0,0,0
2015-04-05,0,0,29
2015-04-12,28,0,0
2015-04-19,0,0,29
2015-04-26,0,0,0
2015-05-03,32,0,0
2015-05-10,0,0,36
2015-05-17,0,32,0
2015-05-24,0,0,0
2015-05-31,0,31,36
2015-06-07,0,0,47
2015-06-14,0,0,0
2015-06-21,31,0,0
2015-06-28,0,0,32
2015-07-05,34,0,0
2015-07-12,32,0,0
2015-07-19,35,0,0
2015-07-26,0,0,0
2015-08-02,0,0,35
2015-08-09,0,0,41
2015-08-16,0,0,0
2015-08-23,0,38,44
2015-08-30,0,0,0
2015-09-06,0,0,32
2015-09-13,0,30,30
2015-09-20,0,0,29
2015-09-27,0,0,0
2015-10-04,27,0,0
2015-10-11,0,0,21
2015-10-18,0,0,22
2015-10-25,19,0,21
2015-11-01,0,0,22
2015-11-08,0,0,20
2015-11-15,41,0,0
2015-11-22,0,0,0
2015-11-29,26,0,0
2015-12-06,0,0,23
2015-12-13,0,0,0
2015-12-20,0,0,0
2015-12-27,27,0,0
2016-01-03,0,0,0
2016-01-10,0,25,23
2016-01-17,0,0,0
2016-01-24,0,0,0
2016-01-31,0,0,0
2016-02-07,23,0,23
2016-02-14,0,0,21
2016-02-21,20,20,20
2016-02-28,0,0,18
2016-03-06,0,0,20
2016-03-13,0,21,0
2016-03-20,0,0,0
2016-03-27,19,0,0
2016-04-03,0,0,0
2016-04-10,21,0,21
2016-04-17,0,17,0
2016-04-24,19,38,0
2016-05-01,0,0,18
2016-05-08,0,25,0
2016-05-15,0,0,20
2016-05-22,20,0,0
2016-05-29,19,0,20
2016-06-05,0,0,21
2016-06-12,0,0,0
2016-06-19,0,0,19
2016-06-26,0,0,0
2016-07-03,20,0,0
2016-07-10,19,19,22
