codigo_producto;sucursal;precio_venta;fecha_venta;nombe-producto;costo;Utilidad
K;Memphis;16569.45;miércoles 23 de agosto de 2017;Toyota;509328;-492758.55
S;Memphis;30608.98;domingo 03 de septiembre de 2017;Peugeot;287741;-257132.02
L;Memphis;1330.66;domingo 12 de marzo de 2017;Volkswagen;478975;-477644.34
H;Memphis;9036;sábado 12 de agosto de 2017;Renault;417019;-407983
H;Memphis;31951.23;miércoles 21 de junio de 2017;Renault;417019;-385067.77
L;Memphis;17532.77;sábado 22 de julio de 2017;Volkswagen;478975;-461442.23
I;Memphis;23693.63;jueves 09 de noviembre de 2017;Hyundai;121889;-98195.37
B;Memphis;18676.16;miércoles 14 de junio de 2017;Audi;506811;-488134.84
M;Memphis;38929.06;domingo 25 de junio de 2017;Mazda;327078;-288148.94
C;Memphis;14321.24;martes 28 de marzo de 2017;Ford;145385;-131063.76
Q;Memphis;47487.72;miércoles 13 de diciembre de 2017;Suzuki;121590;-74102.28
K;Memphis;20182.67;domingo 05 de marzo de 2017;Toyota;509328;-489145.33
T;Memphis;23560.73;sábado 28 de enero de 2017;Isuzu;288473;-264912.27
A;Memphis;18557.14;miércoles 14 de junio de 2017;Mercedes-Benz;665685;-647127.86
T;Memphis;6487.73;domingo 20 de agosto de 2017;Isuzu;288473;-281985.27
R;Memphis;40678.28;sábado 18 de febrero de 2017;Seat;3396;37282.28
J;Memphis;31022.84;lunes 28 de agosto de 2017;Mitsubishi;362567;-331544.16
G;Memphis;3658.21;martes 02 de mayo de 2017;Jeep;62985;-59326.79
T;Memphis;12866.35;martes 03 de enero de 2017;Isuzu;288473;-275606.65
R;Memphis;38191.93;miércoles 22 de marzo de 2017;Seat;3396;34795.93
G;Memphis;42860.23;martes 24 de octubre de 2017;Jeep;62985;-20124.77
R;Memphis;1600.02;lunes 28 de agosto de 2017;Seat;3396;-1795.98
P;Memphis;28516.83;miércoles 07 de junio de 2017;Volvo;579877;-551360.17
H;Memphis;39390.72;lunes 06 de marzo de 2017;Renault;417019;-377628.28
C;Memphis;44977.28;viernes 29 de diciembre de 2017;Ford;145385;-100407.72
